,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,82,0,75,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2
01:00:00,46,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,36,0,29,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2.8
03:00:00,26,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,23,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
05:00:00,27,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
06:00:00,35,0,30,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2.9
07:00:00,65,0,54,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
08:00:00,108,0,86,20,0,2,0,0,0,0,0,0,0,0,0,0,0,1.9
09:00:00,174,0,156,16,0,1,0,0,1,0,0,0,0,0,0,0,0,1.1
10:00:00,249,0,222,24,0,3,0,0,0,0,0,0,0,0,0,0,0,1.2
11:00:00,328,0,282,42,1,2,0,0,1,0,0,0,0,0,0,0,0,0.9
12:00:00,401,0,343,47,0,9,0,0,1,1,0,0,0,0,0,0,0,2.7
13:00:00,518,1,462,49,0,6,0,0,0,0,0,0,0,0,0,0,0,1.2
14:00:00,565,0,492,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5
15:00:00,715,0,618,90,0,4,0,0,3,0,0,0,0,0,0,0,0,1.0
16:00:00,607,1,505,94,1,4,1,0,1,0,0,0,0,0,0,0,0,1.0
17:00:00,571,1,503,64,1,2,0,0,0,0,0,0,0,0,0,0,0,0.4
18:00:00,502,0,441,58,0,2,1,0,0,0,0,0,0,0,0,0,0,0.6
19:00:00,406,1,352,49,0,3,0,0,1,0,0,0,0,0,0,0,0,1.0
20:00:00,296,0,261,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
21:00:00,210,1,185,21,0,3,0,0,0,0,0,0,0,0,0,0,0,1.4
22:00:00,238,1,191,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0.8
23:00:00,88,0,78,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2.3
