,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,30,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01:00:00,14,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,12,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16.7
03:00:00,22,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,80,0,65,13,0,1,0,0,1,0,0,0,0,0,0,0,0,2.5
05:00:00,261,0,187,57,2,7,3,0,1,2,0,0,0,0,0,2,0,5.0
06:00:00,522,0,392,97,0,23,3,0,3,2,0,0,0,0,0,2,0,5.9
07:00:00,896,0,713,139,1,15,8,0,17,1,0,0,0,0,0,2,0,4.6
08:00:00,1106,0,860,196,0,24,3,0,19,4,0,0,0,0,0,0,0,4.5
09:00:00,866,0,700,129,0,19,3,0,9,6,0,0,0,0,0,0,0,4.3
10:00:00,608,0,473,99,1,20,2,0,8,5,0,0,0,0,0,0,0,5.8
11:00:00,614,0,479,101,0,16,3,0,8,7,0,0,0,0,0,0,0,5.5
12:00:00,639,0,519,87,4,20,5,0,4,0,0,0,0,0,0,0,0,4.5
13:00:00,605,0,497,93,0,7,3,0,3,2,0,0,0,0,0,0,0,2.5
14:00:00,573,0,466,82,1,18,1,0,4,1,0,0,0,0,0,0,0,4.2
15:00:00,625,0,532,75,0,13,1,0,3,1,0,0,0,0,0,0,0,2.9
16:00:00,682,0,578,93,0,8,1,0,2,0,0,0,0,0,0,0,0,1.6
17:00:00,733,0,625,100,1,5,1,0,1,0,0,0,0,0,0,0,0,1.0
18:00:00,661,0,570,83,1,4,0,0,1,2,0,0,0,0,0,0,0,1.1
19:00:00,438,0,369,62,0,4,0,0,2,1,0,0,0,0,0,0,0,1.6
20:00:00,414,0,347,61,1,4,0,0,1,0,0,0,0,0,0,0,0,1.2
21:00:00,216,0,191,21,1,2,0,0,0,1,0,0,0,0,0,0,0,1.4
22:00:00,160,0,134,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6
23:00:00,64,0,58,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6
