,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,33,0,26,5,0,1,0,0,1,0,0,0,0,0,0,0,0,6.1
01:00:00,23,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,28,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6
03:00:00,37,0,25,8,0,1,1,0,1,1,0,0,0,0,0,0,0,10.8
04:00:00,80,0,70,7,0,1,1,0,1,0,0,0,0,0,0,0,0,3.8
05:00:00,208,0,155,45,0,5,0,0,0,3,0,0,0,0,0,0,0,3.8
06:00:00,476,0,375,79,0,13,3,0,5,1,0,0,0,0,0,0,0,4.6
07:00:00,759,0,553,168,0,19,1,0,15,3,0,0,0,0,0,0,0,5.0
08:00:00,833,2,628,149,1,28,3,1,17,4,0,0,0,0,0,0,0,6.4
09:00:00,673,3,508,115,1,31,3,0,5,5,0,0,0,0,0,2,0,6.5
10:00:00,550,0,434,98,0,9,4,0,4,0,0,0,0,0,0,1,0,3.1
11:00:00,531,1,429,80,0,11,4,0,4,2,0,0,0,0,0,0,0,4.0
12:00:00,612,2,502,88,0,9,3,0,4,4,0,0,0,0,0,0,0,3.3
13:00:00,608,2,500,87,0,9,1,0,6,1,0,0,0,0,0,2,0,2.8
14:00:00,582,3,476,74,0,20,0,0,7,2,0,0,0,0,0,0,0,5.0
15:00:00,532,2,447,65,1,8,2,0,5,2,0,0,0,0,0,0,0,3.2
16:00:00,620,0,507,98,0,10,0,0,4,0,0,0,0,0,0,1,0,2.3
17:00:00,648,3,551,86,1,4,0,0,2,1,0,0,0,0,0,0,0,1.1
18:00:00,588,0,503,76,0,6,0,0,0,1,0,0,0,0,0,2,0,1.2
19:00:00,475,2,402,67,0,2,0,0,1,1,0,0,0,0,0,0,0,0.8
20:00:00,401,0,346,50,1,2,0,0,1,1,0,0,0,0,0,0,0,1.0
21:00:00,270,0,232,35,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7
22:00:00,175,1,152,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
23:00:00,76,0,65,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3
