,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,34,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01:00:00,21,0,14,4,0,3,0,0,0,0,0,0,0,0,0,0,0,14.3
02:00:00,12,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,16.7
03:00:00,19,0,11,6,0,1,0,0,0,1,0,0,0,0,0,0,0,10.5
04:00:00,16,0,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3
05:00:00,68,0,46,13,0,5,0,0,0,4,0,0,0,0,0,0,0,13.2
06:00:00,138,0,109,24,0,3,1,0,1,0,0,0,0,0,0,0,0,3.6
07:00:00,274,0,213,51,1,7,0,0,1,1,0,0,0,0,0,0,0,3.3
08:00:00,381,1,303,65,1,6,2,0,3,0,0,0,0,0,0,0,0,2.9
09:00:00,379,0,291,71,0,12,1,1,1,1,0,0,0,0,0,1,0,4.2
10:00:00,440,1,339,79,0,9,3,0,8,1,0,0,0,0,0,0,0,4.8
11:00:00,492,1,371,96,0,16,4,0,3,1,0,0,0,0,0,0,0,4.9
12:00:00,638,1,518,90,2,19,2,0,2,3,0,0,0,0,0,1,0,4.1
13:00:00,655,0,540,95,0,16,1,0,2,1,0,0,0,0,0,0,0,3.1
14:00:00,726,1,596,108,1,10,2,0,4,4,0,0,0,0,0,0,0,2.8
15:00:00,763,0,614,129,0,10,2,1,6,1,0,0,0,0,0,0,0,2.6
16:00:00,878,1,749,110,0,11,0,0,7,0,0,0,0,0,0,0,0,2.1
17:00:00,914,2,742,148,1,13,1,0,7,0,0,0,0,0,0,0,0,2.3
18:00:00,902,0,744,144,1,8,0,0,5,0,0,0,0,0,0,0,0,1.4
19:00:00,671,1,587,72,1,6,0,0,3,1,0,0,0,0,0,0,0,1.5
20:00:00,474,0,400,65,1,5,0,0,3,0,0,0,0,0,0,0,0,1.7
21:00:00,310,0,273,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0.6
22:00:00,233,0,198,32,0,3,0,0,0,0,0,0,0,0,0,0,0,1.3
23:00:00,107,0,85,17,0,4,0,0,1,0,0,0,0,0,0,0,0,4.7
