,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,133,0,119,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1.5
01:00:00,90,0,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02:00:00,78,0,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03:00:00,54,0,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
04:00:00,35,0,31,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9
05:00:00,47,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
06:00:00,136,0,122,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
07:00:00,174,0,156,14,1,3,0,0,0,0,0,0,0,0,0,0,0,1.7
08:00:00,283,0,259,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
09:00:00,397,1,360,32,0,4,0,0,0,0,0,0,0,0,0,0,0,1.0
10:00:00,473,0,437,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0.4
11:00:00,598,1,531,60,0,4,0,0,0,1,0,0,0,0,0,1,0,0.8
12:00:00,733,0,669,58,0,6,0,0,0,0,0,0,0,0,0,0,0,0.8
13:00:00,814,0,735,76,2,0,0,0,1,0,0,0,0,0,0,0,0,0.1
14:00:00,892,0,826,60,0,4,0,0,2,0,0,0,0,0,0,0,0,0.7
15:00:00,987,0,909,68,1,6,0,0,1,2,0,0,0,0,0,0,0,0.9
16:00:00,877,0,794,77,0,6,0,0,0,0,0,0,0,0,0,0,0,0.7
17:00:00,676,0,623,44,1,5,0,0,2,0,0,0,0,0,0,1,0,1.0
18:00:00,739,0,677,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0.7
19:00:00,526,0,481,40,0,3,1,0,1,0,0,0,0,0,0,0,0,1.0
20:00:00,371,0,349,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5
21:00:00,259,1,230,25,0,3,0,0,0,0,0,0,0,0,0,0,0,1.2
22:00:00,198,0,184,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0
23:00:00,128,0,110,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8
