,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,67,0,54,7,1,3,0,0,1,1,0,0,0,0,0,0,0,7.5
01:00:00,48,0,45,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.2
02:00:00,33,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03:00:00,33,0,26,3,0,3,0,0,0,1,0,0,0,0,0,0,0,12.1
04:00:00,48,0,35,8,0,0,3,0,1,1,0,0,0,0,0,0,0,10.4
05:00:00,171,0,139,22,0,5,3,0,1,1,0,0,0,0,0,0,0,5.8
06:00:00,472,1,417,46,1,5,2,0,0,0,0,0,0,0,0,0,0,1.5
07:00:00,757,1,629,99,0,18,1,0,8,1,0,0,0,0,0,0,0,3.7
08:00:00,711,2,605,83,0,11,2,0,8,0,0,0,0,0,0,0,0,3.0
09:00:00,739,2,598,109,1,18,3,0,5,3,0,0,0,0,0,0,0,3.9
10:00:00,749,1,623,94,1,17,4,0,8,1,0,0,0,0,0,0,0,4.0
11:00:00,740,1,605,118,0,10,0,0,6,0,0,0,0,0,0,0,0,2.2
12:00:00,821,1,690,112,1,12,1,0,3,1,0,0,0,0,0,0,0,2.1
13:00:00,909,0,785,104,1,10,0,0,8,1,0,0,0,0,0,0,0,2.1
14:00:00,1062,1,908,130,0,14,2,0,7,0,0,0,0,0,0,0,0,2.2
15:00:00,1234,2,1009,171,2,30,0,0,9,4,0,0,0,0,0,7,0,3.5
16:00:00,1197,2,1015,124,3,23,0,0,8,7,0,0,0,0,0,15,0,3.2
17:00:00,1249,3,1067,141,3,10,2,0,7,7,1,0,0,1,0,7,0,2.2
18:00:00,1177,0,1045,109,1,13,1,0,6,2,0,0,0,0,0,0,0,1.9
19:00:00,799,1,719,69,1,4,0,0,3,2,0,0,0,0,0,0,0,1.1
20:00:00,515,0,476,37,0,1,0,0,1,0,0,0,0,0,0,0,0,0.4
21:00:00,310,0,275,28,0,4,1,0,0,2,0,0,0,0,0,0,0,2.3
22:00:00,235,1,213,17,0,3,0,0,0,1,0,0,0,0,0,0,0,1.7
23:00:00,135,0,128,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
