,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1356,0,1337,12,0,1,0,0,0,6,0,0,0,0,0,0,0,0.5
01:00:00,935,1,920,7,0,1,0,0,0,6,0,0,0,0,0,0,0,0.7
02:00:00,868,0,854,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0.6
03:00:00,638,0,632,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.3
04:00:00,392,0,384,2,1,0,0,0,0,5,0,0,0,0,0,0,0,1.3
05:00:00,455,0,444,3,3,0,0,0,0,5,0,0,0,0,0,0,0,1.1
06:00:00,837,2,813,9,2,0,1,0,0,10,0,0,0,0,0,0,0,1.3
07:00:00,891,0,793,90,1,5,0,0,0,2,0,0,0,0,0,0,0,0.8
08:00:00,1205,0,1078,110,2,7,1,0,5,2,0,0,0,0,0,0,0,1.2
09:00:00,1704,0,1556,124,4,9,9,0,0,1,1,0,0,0,0,0,0,1.2
10:00:00,2480,0,2248,200,4,13,5,0,7,3,0,0,0,0,0,0,0,1.1
11:00:00,3019,0,2737,267,4,8,0,0,1,1,1,0,0,0,0,0,0,0.4
12:00:00,3668,0,3367,274,4,14,8,0,1,0,0,0,0,0,0,0,0,0.6
13:00:00,3747,0,3440,281,1,17,4,0,1,3,0,0,0,0,0,0,0,0.7
14:00:00,3575,0,3316,241,4,6,6,0,1,1,0,0,0,0,0,0,0,0.4
15:00:00,3769,1,3501,244,4,6,8,1,2,2,0,0,0,0,0,0,0,0.5
16:00:00,3846,2,3549,271,1,9,7,0,4,3,0,0,0,0,0,0,0,0.6
17:00:00,3713,0,3424,261,2,8,6,0,7,4,1,0,0,0,0,0,0,0.7
18:00:00,3758,0,3454,270,3,14,5,1,5,3,3,0,0,0,0,0,0,0.8
19:00:00,2931,2,2856,55,1,3,1,0,0,10,3,0,0,0,0,0,0,0.6
20:00:00,2676,4,2609,44,4,3,0,0,1,11,0,0,0,0,0,0,0,0.6
21:00:00,2297,3,2258,26,3,1,1,0,0,5,0,0,0,0,0,0,0,0.3
22:00:00,2017,0,1979,25,1,3,0,0,0,8,1,0,0,0,0,0,0,0.6
23:00:00,1072,2,1044,14,1,3,0,0,1,6,1,0,0,0,0,0,0,1.0
