,Average Flow,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Invalid Reading,%Truck
00:00:00,1827,0,1790,24,1,6,0,0,0,5,1,0,0,0,0,0,0,0.7
01:00:00,1100,2,1079,5,2,1,0,0,0,11,0,0,0,0,0,0,0,1.1
02:00:00,845,0,831,7,0,1,0,0,0,6,0,0,0,0,0,0,0,0.8
03:00:00,679,0,665,4,0,2,0,0,0,8,0,0,0,0,0,0,0,1.5
04:00:00,388,0,362,9,2,1,0,0,0,14,0,0,0,0,0,0,0,3.9
05:00:00,516,0,487,6,1,3,1,0,3,15,0,0,0,0,0,0,0,4.3
06:00:00,1193,2,1055,94,9,19,2,0,1,11,0,0,0,0,0,0,0,2.8
07:00:00,1684,0,1410,228,5,27,7,0,6,0,1,0,0,0,0,0,0,2.4
08:00:00,2158,1,1841,261,1,38,2,0,10,4,0,0,0,0,0,0,0,2.5
09:00:00,2779,0,2425,299,6,29,6,0,10,3,1,0,0,0,0,0,0,1.8
10:00:00,3283,0,2921,311,3,38,3,0,6,1,0,0,0,0,0,0,0,1.5
11:00:00,3602,0,3216,349,4,25,0,0,2,5,1,0,0,0,0,0,0,0.9
12:00:00,3810,0,3394,363,6,32,3,1,8,3,0,0,0,0,0,0,0,1.2
13:00:00,3904,0,3503,358,6,28,0,0,8,1,0,0,0,0,0,0,0,0.9
14:00:00,3943,1,3529,358,5,32,2,0,13,3,0,0,0,0,0,0,0,1.3
15:00:00,3991,1,3619,328,2,30,0,0,8,3,0,0,0,0,0,0,0,1.0
16:00:00,4205,0,3845,314,3,30,1,0,5,7,0,0,0,0,0,0,0,1.0
17:00:00,4323,0,3946,344,5,17,4,0,3,4,0,0,0,0,0,0,0,0.6
18:00:00,4322,0,3944,340,4,18,0,0,11,4,1,0,0,0,0,0,0,0.8
19:00:00,3846,1,3494,313,2,24,1,1,7,3,0,0,0,0,0,0,0,0.9
20:00:00,3155,0,2937,203,0,11,1,0,2,1,0,0,0,0,0,0,0,0.5
21:00:00,2932,1,2856,51,3,4,1,0,1,13,2,0,0,0,0,0,0,0.7
22:00:00,2792,2,2724,44,5,2,3,0,0,10,2,0,0,0,0,0,0,0.6
23:00:00,2387,1,2353,24,3,2,1,0,1,2,0,0,0,0,0,0,0,0.3
